Title without number,Rating
Inside Out 2,7.6
Deadpool & Wolverine,7.6
Wicked,7.9
Dune: Part Two,8.5
The Wild Robot,8.2
Nosferatu,7.7
Transformers One,7.6
A Complete Unknown,7.8
Anora,7.9
Haikyu!! The Dumpster Battle,7.8
For King + Country: A Drummer Boy Christmas - Live,8.0
Solo Leveling: ReAwakening,8.2
2024 Oscar Nominated Short Films: Documentary,7.7
Jesus Thirsts: The Miracle of the Eucharist,7.7
GHOST: Rite Here Rite Now,8.6
Sight & Sound Presents: Daniel LIVE,8.9
Jung Kook: I Am Still,8.2
Flow,7.9
Look Back,7.9
Queen Rock Montreal,8.5
SUGA: Agust D Tour 'D-DAY' the Movie,8.1
Something to Stand for with Mike Rowe,9.0
Kneecap,7.6
Article 370,7.8
The Brutalist,8.1
Laufey's A Night at the Symphony: Hollywood Bowl,9.4
"RM: Right People, Wrong Place",8.2
Ghostlight,7.6
Memoir of a Snail,7.8
Faith of Angels,8.2
Eno,7.9
Jesus,7.7
Nickel Boys,7.6
How to Make Millions Before Grandma Dies,8.0
I Am: Celine Dion,7.8
The Seed of the Sacred Fig,7.6
Luther: Never Too Much,8.4
Bocchi the Rock! Re:,7.6
Soundtrack to a Coup d'Etat,8.1
Â¡Casa Bonita Mi Amor!,7.6
Los Frikis,7.8
Water Brother,9.5
The Count of Monte-Cristo,7.6
Bad Shabbos,8.8
Better Man,7.7
Fighting Spirit: A Combat Chaplain's Journey,8.6
Sabbath Queen,8.1
Leap of Faith,7.8
The World According to Allee Willis,8.1
Inheritance to Love,9.2
The Heart Stays,8.2
Porcelain War,7.6
Black Box Diaries,7.9
The Black Sea,8.1
Zurawski v Texas,8.4
A Little Family Drama,8.8
Made in England: The Films of Powell and Pressburger,8.0
Valleyheart,9.1
Wallace & Gromit: Vengeance Most Fowl,7.9
Young Hearts,8.2
Lucky Baskhar,8.0
Viduthalai Part 2,8.6
Marco,7.9
Amaran,8.2
The New Year That Never Came,8.4
UI,7.9
Maharaja,8.4
I'm Still Here,8.9
Kishkindha Kaandam,8.1
Super/Man: The Christopher Reeve Story,8.0
Queen of the Ring,8.6
The Life of Chuck,7.8
Aavesham,7.8
The Last Journey,8.0
The Last Dance,7.9
The Remarkable Life of Ibelin,8.2
Manjummel Boys,8.2
Lick,7.9
Attack on Titan the Movie: The Last Attack,9.3
Sookshma Darshini,8.1
Dan Da Dan: First Encounter,8.2
The Bibi Files,7.6
Yacht Rock: A Dockumentary,7.7
The Salt Path,8.0
No Other Land,8.3
Love in the Big City,7.6
Bramayugam,7.8
Chandu Champion,7.8
Max,7.8
The School Duel,8.9
Desert Fiends,9.2
Hanu Man,7.7
Meiyazhagan,8.4
Nr. 24,7.7
